enemy_id,english_name,jp_name,regions,location_count,region_count,common_drop,common_rate,rare_drop,rare_rate,special_drop,special_rate
M0222,Vivine,カズカズラ,Mont Gendarme (Night); Titis Primeval Forest; Titis Primeval Forest (Past),7,3,warm wood,80.0%,rim flower,15.0%,Vivine bitters,10.0%
M0223,Lugaadi,ルガーディ,Schlamm Jungle,2,1,cloudy mucus,80.0%,strong bones,5.0%,Kentoga,1.0%
M0224,Salamandine,サラマンダイン,Schlamm Jungle,5,1,thick skin,80.0%,clear mucus,20.0%,Salamandine skin,20.0%
M0225,Vespa,ヴェスパ,Beast Hills; Former Sanctuary Crypt - B1; Great River Valley; Headwater Falls; Longhorn Coast; Royal Capital Aegias (Past); Schlamm Jungle; Towering Coral Forest (Night),12,8,thin skin,80.0%,light bones,15.0%,wing quill,1.0%
M0226,Nespa,クノス,Beast Hills; Former Sanctuary Crypt - B1; Great River Valley; Headwater Falls; Longhorn Coast; Royal Capital Aegias (Past); Schlamm Jungle; Towering Coral Forest (Night),12,8,Honey,80.0%,,,,
M0240,Giruvespa,ゲルヴェスパ,Former Sanctuary Crypt - B3; Lodinia Marshland (Past); Nostalgia Cape; Valley of Kings; Valley of Kings (Past); Vista Ridge (Past),8,6,strong bones,80.0%,thick skin,15.0%,Zhan Gangyu,1.0%
M0241,Girunespa,ゲルクノス,Former Sanctuary Crypt - B3; Lodinia Marshland (Past); Nostalgia Cape; Valley of Kings; Valley of Kings (Past); Vista Ridge (Past),7,6,Honey,80.0%,,,,
M0300,Shabil,シャービル,Great Valley (Past); Schlamm Jungle; Western Foot of Gendarme,5,3,thick skin,80.0%,strong bones,15.0%,wing quill,5.0%
M0301,Werecus,ヴェラルコス,Beast Hills; Towering Coral Forest (Night),3,2,light bones,80.0%,thick skin,10.0%,beast claw,5.0%
M0302,Badessa,バオデッサ,Great Valley (Past); Mont Gendarme (Night); Western Foot of Gendarme,11,3,thick skin,80.0%,Iron ore,5.0%,beast claw,1.0%
M0303,Warsadessa,ヴォースデッサ,Mont Gendarme (Night); Western Foot of Gendarme,9,2,beast claw,80.0%,soft fiber,60.0%,Kentoga,40.0%
M0340,Popatobeet,ロガロトビトゥ,Weathervane Hills,2,1,thick skin,80.0%,soft fiber,15.0%,Kentoga,5.0%
M0341,Morobadessa,モホロバオデッサ,Weathervane Hills,2,1,strange lump,80.0%,thick skin,5.0%,strong bones,5.0%
M0400,Illmodo,イルモアード,Great River Valley,3,1,light bones,80.0%,thick skin,5.0%,,
M0401,Angveetle,アングヴォータル,Eroded Valley,1,1,thin skin,80.0%,strong bones,5.0%,,
M0402,Garban,ガルバン,Mountain Pinnacle Trail,4,1,beast bone,80.0%,beast skin,40.0%,tektite ore,5.0%
M0403,Zentipede,ゾンドピーダ,Towal Highway; Towal Highway (Past),3,2,Glittering mucus,80.0%,beast bone,15.0%,Thunderclaw,1.0%
M0440,Zaspion,ザスピオン,Mont Gendarme (Night),6,1,clear mucus,80.0%,evil crest shell,20.0%,Thespion's Tail,10.0%
M0441,Zagroon,ザグルーン,Mont Gendarme (Night),8,1,thick skin,80.0%,beast claw,5.0%,,
M0442,Neydeek,ネイディク,Mont Gendarme (Night),8,1,strong bones,80.0%,thick skin,5.0%,Glory scales,1.0%
M0500,Dictyon,ディクティオン,Mountain Pinnacle Trail,5,1,strong bones,80.0%,solid shell,10.0%,beast bone,5.0%
M0501,Fureoanton,フラレオアントン,Titis Primeval Forest; Titis Primeval Forest (Past),3,2,beast skin,80.0%,beast bone,15.0%,Blue Sky Feather,1.0%
M0502,Jeld,ジャード,Titis Primeval Forest; Titis Primeval Forest (Past),2,2,clear mucus,80.0%,Glittering mucus,5.0%,,
M0503,Befael,ヴィファエール,Mountain Pinnacle Trail,6,1,glossy wood,80.0%,warm wood,5.0%,,
M0504,Gilaaf,ジラーフェ,Vista Ridge; Vista Ridge (Past),2,2,beast bone,80.0%,Pangu bones,15.0%,,
M0600,Gricust,ギリーカ,Vista Ridge; Vista Ridge (Past),2,2,beast skin,80.0%,Pangu skin,5.0%,,
M0601,Gulengen,グーリンゲン,Vista Ridge; Vista Ridge (Past),2,2,shining leaves,80.0%,Pangu flower,5.0%,,
M0602,Horndagh,ホーンダーグ,Towal Highway; Towal Highway (Past),3,2,beast skin,80.0%,beast bone,15.0%,rigid fiber,1.0%
M0603,Frogeous,フロギアス,Lodinia Marshland (Past),4,1,Glittering mucus,80.0%,Pangu skin,5.0%,Pangu slime,1.0%
M0604,Redricora,レドリコーラ,Lodinia Marshland (Past),3,1,beast bone,80.0%,evil crest shell,5.0%,Pangu bones,1.0%
M0605,Dandale,ダンディール,Lodinia Marshland (Past),3,1,Pangu skin,80.0%,rigid fiber,40.0%,Dundeel's Horn,10.0%
M0621,Xivega,シュイヴェガー,Baja Tower,6,1,Iron ore,80.0%,tektite ore,5.0%,Rispar,1.0%
M0622,Uni-Attacker,ユニアタッカ,Baja Tower,7,1,Iron ore,80.0%,tektite ore,5.0%,Rispar,1.0%
M0623,Masquard,マスカーデル,Baja Tower,4,1,tektite ore,80.0%,Rispar,15.0%,mental armor,5.0%
M0640,Gorba,グーリーバ,Valley of Kings,6,1,Glittering mucus,80.0%,Pangu slime,5.0%,diamond shell,1.0%
M0641,Fabnir,ファブニール,Valley of Kings,5,1,Pangu bones,80.0%,Thunderclaw,15.0%,Strong acidic hard liquid,1.0%
M0642,Dhampul,ダンポウル,Former Sanctuary Crypt - B1; Valley of Kings,8,2,Rispar,80.0%,dragonite,10.0%,Star Crystal Armor,1.0%
M0643,Force Garmr,フォースガルム,Valley of Kings,1,1,Rispar,80.0%,Star Crystal Armor,40.0%,Strong acidic hard liquid,20.0%
M0644,Vallesdominus,バレスドミナス,Valley of Kings,1,1,,,,,,
M0660,Explosive Plant,爆弾植物,Archeozoic Chasm,3,1,,,,,,
M0661,Gerub,ゲルブ,Archeozoic Chasm,5,1,beast skin,80.0%,Pangu slime,20.0%,rigid fiber,10.0%
M0662,Daile,ダイラー,Archeozoic Chasm,8,1,beast bone,80.0%,Glittering mucus,5.0%,Pangu bones,1.0%
M0663,Dornicle,ドワニクル,Archeozoic Chasm,4,1,Pangu bones,80.0%,Pangu skin,40.0%,Dwanikr's shell,20.0%
M0664,Dustalpho,ダスタラルフォ,Archeozoic Chasm,6,1,warm wood,80.0%,shining leaves,5.0%,Pangu tree,1.0%
M0680,Ratnilarda,ラタニーラダー,Former Sanctuary Crypt - B3; Temple of the Great Tree,2,2,beast bone,80.0%,Pangu skin,20.0%,Pangu tree,10.0%
M0700,Gibo,ガイボ,East Coast Cave,1,1,beast bone,80.0%,Glittering mucus,15.0%,,
M0701,Kedah Bommy,クダボミー,East Coast Cave,1,1,Glittering mucus,80.0%,diamond shell,15.0%,Pangu bones,5.0%
M0800,Vula-Menua,ヴァラ・メヌア,Octus Overlook,1,1,Pangu skin,80.0%,Pangu slime,5.0%,Spirit skin of another world,1.0%
M0801,Vula-Marut,ヴァラ・マルト,Octus Overlook,1,1,Pangu bones,80.0%,dragonite,15.0%,Spiritual bones of another world,5.0%
M0805,Vulo-Menua,ヴロー・メヌア,Octus Overlook,1,1,Pangu skin,80.0%,Pangu slime,5.0%,Spirit skin of another world,1.0%
M0806,Vulo-Marut,ヴロー・マルト,Octus Overlook,1,1,Pangu bones,80.0%,dragonite,15.0%,Spiritual bones of another world,5.0%
M0810,Vunu-Menua,ヴェーヌ・メヌア,Octus Overlook,1,1,Pangu skin,80.0%,Pangu slime,5.0%,Spirit skin of another world,1.0%
M0811,Vunu-Marut,ヴェーヌ・マルト,Octus Overlook,1,1,Pangu bones,80.0%,dragonite,15.0%,Spiritual bones of another world,5.0%
M0815,Vuno-Menua,ヴノ・メヌア,Former Sanctuary Crypt - B5; Octus Overlook,3,2,Pangu skin,80.0%,Pangu slime,5.0%,Spirit skin of another world,1.0%
M0816,Vuno-Marut,ヴノ・マルト,Former Sanctuary Crypt - B5; Octus Overlook,2,2,Pangu bones,80.0%,dragonite,15.0%,Spiritual bones of another world,5.0%
M0830,Zanvis,ザンフィッス,Octus Overlook,1,1,Pangu slime,80.0%,moon shadow wing,5.0%,Spiritual bones of another world,1.0%
M0831,Squeed,スクイード,Octus Overlook,1,1,Pangu tree,80.0%,Treasure branch of the great tree,5.0%,Strong acidic hard liquid,1.0%
M0840,Trema,トレムゥ,Octus Overlook,1,1,Rispar,80.0%,Star Crystal Armor,5.0%,Spiritual bones of another world,1.0%
M0841,Giganess,ギガヌス,Octus Overlook,1,1,sunshine tooth,40.0%,Treasure branch of the great tree,40.0%,Spirit skin of another world,40.0%
M0850,Prugeccia,プルゲッチュ,Octus Overlook,1,1,moon shadow wing,40.0%,Strong acidic hard liquid,40.0%,Spirit skin of another world,40.0%
M0851,Elpion,エルピオン,Former Sanctuary Crypt - B5; Octus Overlook,4,2,Pangu flower,80.0%,Treasure branch of the great tree,5.0%,Spiritual bones of another world,1.0%
M0860,Oroodanyo,ウーエルダーニョ,Octus Overlook,1,1,Strong acidic hard liquid,40.0%,Spirit skin of another world,40.0%,Spiritual bones of another world,40.0%
M0861,Palejeni,ペイルジェニー,Octus Overlook,1,1,moon shadow wing,40.0%,Spiritual bones of another world,40.0%,Spirit skin of another world,40.0%
M0870,Hanmorph,ハンムオルフェ,Former Sanctuary Crypt - B1; Former Sanctuary Crypt - B4; Former Sanctuary Crypt - Final Floor; Octus Overlook,5,4,dragonite,40.0%,Spiritual bones of another world,40.0%,Goryu's heavy shell,5.0%
M0871,Morx,モルクス,Octus Overlook,1,1,Strong acidic hard liquid,40.0%,Spiritual bones of another world,40.0%,Spirit skin of another world,40.0%
M0881,Zindare,ザインデール,Octus Overlook,2,1,dragonite,80.0%,Spiritual bones of another world,80.0%,Goryu's heavy shell,10.0%
M0882,Superion,スペリオル,Octus Overlook,2,1,Senryu's Great Fang,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,15.0%
M0883,Abyss Bloom,アビスブルーメ,Octus Overlook,2,1,Treasure branch of the great tree,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,15.0%
M0884,Deanafrog,ディアナフロッグ,Octus Overlook,2,1,Strong acidic hard liquid,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,20.0%
M0885,Chronotylan,クロノタイラン,Octus Overlook,2,1,dragonite,80.0%,Spiritual bones of another world,80.0%,Goryu's heavy shell,20.0%
M0886,Blightsoul,ブライティソウル,Former Sanctuary Crypt - Final Floor; Octus Overlook,3,2,Senryu's Great Fang,80.0%,Spiritual bones of another world,80.0%,Goryu's heavy shell,25.0%
M0887,Audibax,オーディールバックス,Octus Overlook,1,1,dragonite,80.0%,Spiritual bones of another world,80.0%,Goryu's heavy shell,25.0%
M0888,Palladiosage,パレーディアセイジ,Octus Overlook,1,1,Spiritual bones of another world,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,25.0%
M0889,Desmagazel,デスマギャゼル,Octus Overlook,2,1,Spiritual bones of another world,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,30.0%
M0890,Duskova,ダスクヴァッツァ,Octus Overlook,2,1,Spiritual bones of another world,80.0%,Spirit skin of another world,80.0%,Goryu's heavy shell,30.0%
M0901,Zokru,ザッカール,Former Sanctuary Crypt - B5; Pirate Ship Eleftheria,7,2,strong bones,80.0%,beast bone,5.0%,Pangu bones,1.0%
M0902,Gilkyra,ギルクイラ,East Coast Cave; Pirate Ship Eleftheria,4,2,Glittering mucus,80.0%,Pangu skin,40.0%,Pangu slime,20.0%
M0903,Catablepne,カタベローヌ,Pirate Ship Eleftheria,2,1,beast bone,80.0%,Pangu slime,5.0%,,
M0910,Cramatange,クラマタンゲ,Former Sanctuary Crypt - B2; Waterfall Grotto,2,2,bending twig,80.0%,lateca resin,5.0%,,
M0911,Ercaota,エルカオータ,Towering Coral Forest (Night); Waterfall Grotto,6,2,cloudy mucus,80.0%,thick skin,5.0%,clear mucus,1.0%
M0915,Gyashark,ギャルサーク,Headwater Falls,1,1,cloudy mucus,80.0%,thick skin,15.0%,stalactite,5.0%
M0916,Gidol,ガイドル,Underground Water Vein,1,1,beast bone,80.0%,Glittering mucus,5.0%,evil crest shell,5.0%
M0920,Velgyashark,ヴェル・ギャルサーク,Underground Water Vein,1,1,Pangu skin,80.0%,Pangu slime,40.0%,rigid fiber,5.0%
M0925,Zaroz,ザロッズ,Stone Pillar Wind Cave,1,1,beast skin,80.0%,Glittering mucus,15.0%,Zhan Gangyu,5.0%
M0926,Nidoras,ニドラース,Stone Pillar Wind Cave,1,1,glossy wood,80.0%,shining leaves,15.0%,,
M0930,Caim Dahn,カイム・ダーン,Balado Monastery; Former Sanctuary Crypt - B2,3,2,beast bone,80.0%,beast skin,80.0%,tektite ore,80.0%
M0931,Caim Basch,カイム・バッシュ,Balado Monastery; Former Sanctuary Crypt - B2,3,2,beast bone,80.0%,beast skin,80.0%,warm wood,80.0%
M0935,Zosh,ザッシュ,The Submerged Cemetery,1,1,beast bone,80.0%,Pangu slime,5.0%,Pangu bones,1.0%
M0936,Bunymembo,ブニメンボ,Former Sanctuary Crypt - B5; The Submerged Cemetery,3,2,Pangu slime,80.0%,Pangu bones,15.0%,Star Crystal Armor,1.0%
M0940,Chuchu Batusi,チュチュヴァッツァ,Former Sanctuary Crypt - B1; Former Sanctuary Crypt - B2; Silent Tower,5,3,Pangu skin,80.0%,Pangu bones,5.0%,moon shadow wing,1.0%
M0941,Xeno-Attacker,ゼノアタッカ,Silent Tower,3,1,Rispar,80.0%,dragonite,5.0%,sunshine tooth,1.0%
M0942,Mata Maguff,マータマガン,Former Sanctuary Crypt - B2; Silent Tower,3,2,Rispar,80.0%,dragonite,15.0%,Star Crystal Armor,5.0%
M0945,Masquerd,マスカード,Cavern of the Ancient King; Mont Gendarme (Night); Western Foot of Gendarme,10,3,strong bones,80.0%,Iron ore,5.0%,beast bone,1.0%
M0960,Hermitocon,ヘルミトコン,Water and Wood Hills,1,1,beautiful flowers,80.0%,Glittering mucus,5.0%,shining leaves,1.0%
M1000,Zakobanis,ザッカバニオス,Mont Gendarme (Night),6,1,beast bone,80.0%,evil crest shell,15.0%,dragon scales,1.0%
M1001,Guanodon,グアナノドン,Pangaia Plains (Night),3,1,beast skin,80.0%,beast bone,15.0%,dragon scales,5.0%
M1003,Parekhan,ペイルカーン,Mont Gendarme (Night); Towal Highway; Towal Highway (Past),7,3,beast skin,80.0%,evil crest shell,15.0%,Blue Sky Feather,5.0%
M1004,Eldebronto,エルディロブロンディア,Former Sanctuary Crypt - B4; Hill of Eternity,3,2,dragon scales,80.0%,Strong acidic hard liquid,60.0%,Senryu's Great Fang,40.0%
M1005,Hydroskelo,ハイドロスケイラ,Former Sanctuary Crypt - B4; Lodinia Marshland (Past),5,2,Pangu bones,80.0%,dragon scales,15.0%,moon shadow wing,5.0%
M1007,Valvalchia,ヴァルヴァロキア,Water and Wood Hills,2,1,Thunderclaw,80.0%,dragon scales,15.0%,sunshine tooth,1.0%
M1009,Dilodicus,ダイロドクス,Pangaia Plains (Night),2,1,Senryu's Great Fang,80.0%,Aura grass,60.0%,Goryu's heavy shell,40.0%
M1010,Gigantyrannus,ギガン・タイラン,Great River Valley; Mont Gendarme (Night); Mountain Pinnacle Trail,5,3,dragon scales,80.0%,Thunderclaw,60.0%,sunshine tooth,20.0%
M1011,Sergesius,セルゲイシオス,Mont Gendarme (Night); Primordial Den; Titis Primeval Forest,5,3,beast bone,80.0%,evil crest shell,15.0%,dragon scales,5.0%
M1012,Dogosecops,ドゴスコプス,Pangaia Plains (Night),2,1,Pangu bones,80.0%,dragon scales,40.0%,Star Crystal Armor,10.0%
M1013,Beodaren,ベイオダラン,Pangaia Plains (Night),2,1,beast bone,80.0%,evil crest shell,20.0%,dragon scales,10.0%
M1014,Paracelsis,プラ・セルシス,Primordial Den; Titis Primeval Forest,2,2,beast skin,80.0%,beast bone,15.0%,dragon scales,1.0%
M1015,Meraldius,メラルディアス,Great Valley (Past),1,1,beast skin,80.0%,evil crest shell,15.0%,dragon scales,1.0%
M1020,Giesaur,ゲイゼル,Former Sanctuary Crypt - Final Floor; Mountain Pinnacle Trail; Pangaia Plains (Night); Titis Primeval Forest; Titis Primeval Forest (Past); Vista Ridge; Vista Ridge (Past); White Sand Cape,16,8,Pangu skin,80.0%,Thunderclaw,15.0%,sunshine tooth,5.0%
M1021,Primarivaur,プリムリーヴァ,Lodinia Marshland (Past); Pangaia Plains (Night); Towal Highway; Towal Highway (Past),8,4,dragon scales,80.0%,moon shadow wing,40.0%,Senryu's Great Fang,20.0%
M1022,Dictidoadus,ディクティドエイデス,Former Sanctuary Crypt - Final Floor; Hill of Eternity; Mountain Pinnacle Trail; Pangaia Plains; Pangaia Plains (Night),8,5,Star Crystal Armor,80.0%,Senryu's Great Fang,60.0%,Goryu's heavy shell,5.0%
M1030,Gerasecops,ゲラスコプス,Titis Primeval Forest (Past); Towal Highway (Past),3,2,beast skin,80.0%,diamond shell,5.0%,dragon scales,5.0%
M1031,Coelavalvalo,シェーラヴァルヴァロ,Lodinia Marshland (Past); Valley of Kings (Past),2,2,Kentoga,80.0%,Thunderclaw,5.0%,dragon scales,1.0%
M1040,Jaegantyrannus,ジャガン・タイラン,Towal Highway (Past),1,1,Pangu bones,80.0%,dragon scales,40.0%,sunshine tooth,20.0%
M1041,Madroskelo,マディロスケイラ,Lodinia Marshland (Past),1,1,Pangu skin,80.0%,dragon scales,40.0%,Star Crystal Armor,20.0%
M1042,Magirodocus,マギロドクス,Lodinia Marshland (Past),1,1,Pangu slime,80.0%,dragon scales,40.0%,Senryu's Great Fang,20.0%
M1100,Skelps,スケルプス,Titis Primeval Forest (Past),1,1,beautiful flowers,80.0%,clear mucus,5.0%,shining leaves,1.0%
M1101,Gorengen,ゴーリンゲン,Titis Primeval Forest (Past),1,1,beautiful flowers,80.0%,foxglove leaves,5.0%,,
M1102,Zaspeony,ザスピオニー,Titis Primeval Forest (Past); Towal Highway (Past),3,2,strong bones,80.0%,solid shell,5.0%,beast bone,1.0%
M1103,Montsolia,モントズーラ,Towal Highway (Past); Vista Ridge (Past),3,2,clear mucus,80.0%,warm wood,5.0%,Glittering mucus,1.0%
M1104,Soldiant,ソルディアント,Lodinia Marshland (Past); Valley of Kings (Past),4,2,strong bones,80.0%,solid shell,5.0%,evil crest shell,1.0%
M1105,Toadius,トーディアス,Lodinia Marshland (Past),1,1,clear mucus,80.0%,beast skin,5.0%,Glittering mucus,1.0%
M1200,Hyupper,ヒュッパー,Nameless Coast,1,1,light bones,80.0%,strong bones,15.0%,wing quill,5.0%
M1201,Agiagila,アギアギラ,Great River Valley,1,1,thick skin,80.0%,wing quill,40.0%,Zhan Gangyu,40.0%
M1202,Valkyra,ヴァルクイラ,Former Sanctuary Crypt - B1; Lodinia Marshland (Past),4,2,beast bone,80.0%,Glittering mucus,40.0%,diamond shell,20.0%
M1203,Graduna,グラドゥーナ,Mont Gendarme (Night),1,1,strong bones,80.0%,beast bone,15.0%,evil crest shell,5.0%
M1300,Prahni-Va,プラニー・ヴァ,The Abyss of Origins,2,1,coconut palm,80.0%,mango,5.0%,Dragonfruit,1.0%
M1301,Voh-Adoh,ヴォ・アード,Former Sanctuary Crypt - Final Floor; The Abyss of Origins,3,2,ripe coconut,80.0%,ripe mango,40.0%,Dragon Tree Treasure,20.0%
M1400,Spamaltu,スポマルトゥ,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nameless Coast; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,12,12,cloudy mucus,80.0%,clear mucus,5.0%,,
M1401,Orseapus,オルシーピス,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,cloudy mucus,80.0%,clear mucus,15.0%,Glory scales,5.0%
M1402,Depanglo,デップアングロ,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,clear mucus,80.0%,Glory scales,15.0%,bitter elixir,5.0%
